date,jmaAvgWind,omAvgWind,avgWindError_om_minus_jma,jmaMaxWind,omMaxWind,maxWindError_om_minus_jma,jmaMaxWindTime,omMaxWindTime,jmaMaxGust,omMaxGust,maxGustError_om_minus_jma,jmaMaxGustTime,omMaxGustTime,gustPeakHourDiff,jmaMaxWindDir,jmaMaxGustDir,omAvgTemp,omPrecipitationTotal
2025-12-28,3.400,4.837,1.437,8.700,9.200,0.500,00:03,04:00,13.400,15.500,2.100,00:46,04:00,3.233,西,西,8.558,0.000
2025-12-29,3.600,4.247,0.647,6.900,6.170,-0.730,15:22,21:00,10.100,10.000,-0.100,15:54,14:00,1.900,西南西,西,10.517,0.000
2025-12-30,5.800,8.077,2.277,8.900,9.740,0.840,13:57,14:00,14.100,14.700,0.600,13:56,14:00,0.067,西,西,12.033,0.000
2025-12-31,9.400,10.659,1.259,12.700,12.970,0.270,14:19,14:00,20.000,21.300,1.300,21:27,14:00,7.450,西,西北西,8.975,0.000
2026-01-01,9.100,10.651,1.551,12.300,11.770,-0.530,02:43,09:00,19.100,19.400,0.300,02:36,00:00,2.600,西,西,7.254,0.000
2026-01-02,7.300,10.183,2.883,10.100,12.590,2.490,16:36,16:00,16.600,18.500,1.900,16:23,16:00,0.383,西北西,西,5.833,0.000
2026-01-03,8.700,11.096,2.396,11.200,12.120,0.920,14:51,04:00,17.300,19.000,1.700,14:40,00:00,9.333,西,西,5.696,0.000
2026-01-04,8.700,11.142,2.442,12.900,12.690,-0.210,13:58,14:00,21.000,20.600,-0.400,13:51,14:00,0.150,西,西,7.267,0.000
2026-01-05,7.900,10.324,2.424,11.000,12.810,1.810,00:12,14:00,17.600,20.400,2.800,01:23,14:00,11.383,西,西北西,9.167,0.000
2026-01-06,5.400,8.765,3.365,9.200,12.300,3.100,07:51,00:00,14.700,19.100,4.400,07:44,10:00,2.267,西,西,7.375,0.000
2026-01-07,3.300,4.129,0.829,5.100,6.840,1.740,20:47,22:00,7.800,10.800,3.000,20:39,23:00,2.350,西北西,西北西,7.554,0.000
2026-01-08,8.100,11.315,3.215,12.400,14.000,1.600,12:21,12:00,21.200,20.500,-0.700,16:11,23:00,6.817,西,西北西,7.500,0.000
2026-01-09,3.700,5.817,2.117,8.600,12.480,3.880,01:10,03:00,13.500,20.900,7.400,01:01,00:00,1.017,西北西,西北西,6.004,0.000
2026-01-10,3.500,5.144,1.644,8.700,11.050,2.350,21:29,21:00,13.900,20.200,6.300,21:26,21:00,0.433,西南西,西南西,9.342,0.000
2026-01-11,9.300,13.932,4.632,15.800,18.360,2.560,11:47,12:00,25.100,24.700,-0.400,11:24,15:00,3.600,西,西,8.854,0.000
2026-01-12,9.500,11.955,2.455,12.700,13.920,1.220,18:13,00:00,19.200,21.000,1.800,18:06,05:00,10.900,西,西,4.563,0.000
2026-01-13,6.700,9.160,2.460,11.200,13.580,2.380,22:16,22:00,17.400,21.400,4.000,23:36,14:00,9.600,西北西,西北西,8.625,0.000
2026-01-14,9.900,12.541,2.641,13.300,14.330,1.030,13:47,13:00,20.700,24.400,3.700,13:41,13:00,0.683,西北西,西北西,7.113,0.000
2026-01-15,6.300,8.421,2.121,9.200,12.110,2.910,14:43,00:00,14.800,17.700,2.900,04:56,00:00,4.933,西,西,8.658,0.000
2026-01-16,6.300,8.140,1.840,11.200,11.460,0.260,11:24,11:00,17.700,19.400,1.700,10:12,10:00,0.200,西,西北西,12.133,0.000
2026-01-17,6.100,7.218,1.118,9.100,9.910,0.810,13:29,18:00,14.600,15.300,0.700,13:02,14:00,0.967,西,西南西,11.508,0.000
2026-01-18,3.600,4.451,0.851,8.000,8.030,0.030,03:55,04:00,12.100,12.500,0.400,00:09,00:00,0.150,西,西,10.700,0.000
2026-01-19,4.100,4.706,0.606,6.700,7.230,0.530,23:51,23:00,11.000,10.400,-0.600,23:50,16:00,7.833,西南西,西南西,11.012,0.000
2026-01-20,9.100,11.426,2.326,13.800,13.290,-0.510,13:23,14:00,20.500,22.300,1.800,11:21,16:00,4.650,西,西,9.408,0.000
2026-01-21,7.400,9.742,2.342,11.700,12.750,1.050,05:08,03:00,18.600,18.800,0.200,15:50,15:00,0.833,西,西,4.337,0.000
2026-01-22,6.600,10.178,3.578,9.300,12.540,3.240,13:03,01:00,15.100,18.100,3.000,12:57,14:00,1.050,西,西,3.729,0.000
2026-01-23,6.600,9.556,2.956,10.300,11.100,0.800,15:29,13:00,16.600,17.600,1.000,15:00,14:00,1.000,西北西,西,3.921,0.000
2026-01-24,7.300,10.348,3.048,12.700,13.450,0.750,13:59,14:00,19.200,19.600,0.400,13:58,13:00,0.967,西,西,5.683,0.000
2026-01-25,8.400,11.617,3.217,12.400,12.660,0.260,15:36,14:00,20.200,22.700,2.500,16:41,15:00,1.683,西北西,北西,4.554,0.000
2026-01-26,4.800,6.820,2.020,12.700,12.500,-0.200,01:07,03:00,18.600,22.800,4.200,02:00,01:00,1.000,西,西北西,4.467,0.000
2026-01-27,7.700,9.264,1.564,11.600,12.130,0.530,15:41,16:00,18.500,19.300,0.800,16:28,16:00,0.467,西,西,6.446,0.000
2026-01-28,6.500,8.725,2.225,10.300,11.070,0.770,01:10,00:00,15.100,17.600,2.500,01:38,21:00,4.633,西,西,7.013,0.000
2026-01-29,7.100,9.867,2.767,10.500,11.790,1.290,14:23,18:00,16.900,18.300,1.400,13:02,16:00,2.967,西,西,5.250,0.000
